,Dec-08,Mar-09,Jun-09,Sep-09,Dec-09,Mar-10,Jun-10,Sep-10,Dec-10
Overall,187112,165547,141455,164745,181402,66464,178200,201727,155426
Mon-fri (0600-1800),88735,79473,74182,83894,80086,73345,76337,84784,59477
Mon-fri (1800-2400),34639,34131,29094,34100,36182,31969,34874,40490,27227
Mon-fri (2400-0600),33959,28664,27417,30075,31027,28593,30399,24821,23981
Subtotal - weekday,157333,142268,129693,148069,147295,133907,141610,160095,110685
Saturday (0600-1800),11852,12132,5656,5760,10299,9277,11102,12338,8447
Saturday (1800-2400),2377,2551,120,8,2642,3102,3392,3473,1525
Saturday (2400-0600),2794,2316,1296,1658,4566,4372,5540,5478,23701
Subtotal - Saturday,17023,16999,707072,7426,17507,16751,20034,21289,33673
Sunday (0600-1800),4122,1578,733,2566,9286,8335,8840,10479,5554
Sunday (1800-2400),4901,1391,1136,3877,4378,4453,4680,6302,3740
Sunday (2400-0600),3733,3311,2821,2807,2936,3018,3036,3562,1774
Subtotal - Sunday,12756,6280,4690,9250,16600,15806,16556,20343,11068
Labour,4195,5446,7728,8459,2465,320,8482,7783,2911
